[2020-04-20 17:26:40,006][11604][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 17:26:56,100][11604][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点1-----------下载校验结果：True',)
[2020-04-20 17:27:40,790][11604][log_file.py][line: 23][DEBUG] ## ('---------0___20200420_081329.apk-------节点2------安装返回结果：True',)
[2020-04-20 17:27:49,037][11604][log_file.py][line: 23][DEBUG] ## ('------------0___20200420_081329.apk----节点3---------拆包校验结果：True:[]',)
[2020-04-20 17:28:57,841][11604][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点4----------打开游戏结果:True',)
[2020-04-20 17:30:00,548][4504][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 17:30:18,001][4504][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点1-----------下载校验结果：True',)
[2020-04-20 17:30:49,187][4504][log_file.py][line: 23][DEBUG] ## ('---------0___20200420_081329.apk-------节点2------安装返回结果：True',)
[2020-04-20 17:30:56,425][4504][log_file.py][line: 23][DEBUG] ## ('------------0___20200420_081329.apk----节点3---------拆包校验结果：True:[]',)
[2020-04-20 17:32:26,040][4504][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点4----------打开游戏结果:True',)
[2020-04-20 17:33:07,557][4504][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk---节点5----------登录游戏结果:True',)
[2020-04-20 17:33:50,613][4504][log_file.py][line: 23][DEBUG] ## ('------0___20200420_081329.apk---节点6-------下单调起微信结果:True',)
[2020-04-20 17:35:00,557][4940][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 17:40:00,790][7488][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 17:45:00,587][8336][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 17:50:13,766][2272][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 17:55:00,547][3932][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:00:05,257][4780][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:05:00,537][6800][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:10:00,711][10636][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:15:00,593][10556][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:20:00,540][3284][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:25:00,567][9732][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:30:00,591][9628][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:35:00,704][10200][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:40:00,549][13152][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:45:00,528][12580][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 18:48:59,752][12336][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 18:49:15,006][12336][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点1-----------下载校验结果：True',)
[2020-04-20 18:49:54,683][12336][log_file.py][line: 23][DEBUG] ## ('---------0___20200420_081329.apk-------节点2------安装返回结果：True',)
[2020-04-20 18:50:00,530][10880][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 18:50:03,415][12336][log_file.py][line: 23][DEBUG] ## ('------------0___20200420_081329.apk----节点3---------拆包校验结果：False:只有图片匹配成功_应用名失败',)
[2020-04-20 18:50:22,009][10880][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点1-----------下载校验结果：True',)
[2020-04-20 18:51:05,384][10880][log_file.py][line: 23][DEBUG] ## ('---------0___20200420_081329.apk-------节点2------安装返回结果：True',)
[2020-04-20 18:51:13,642][10880][log_file.py][line: 23][DEBUG] ## ('------------0___20200420_081329.apk----节点3---------拆包校验结果：True:[]',)
[2020-04-20 18:52:19,905][10880][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点4----------打开游戏结果:True',)
[2020-04-20 18:53:00,959][10880][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk---节点5----------登录游戏结果:True',)
[2020-04-20 18:53:35,396][10880][log_file.py][line: 23][DEBUG] ## ('------0___20200420_081329.apk---节点6-------下单调起微信结果:True',)
[2020-04-20 18:55:00,579][13292][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:00:00,590][11436][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:01:16,924][11192][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 19:01:28,824][11192][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点1-----------下载校验结果：True',)
[2020-04-20 19:02:10,877][11192][log_file.py][line: 23][DEBUG] ## ('---------0___20200420_081329.apk-------节点2------安装返回结果：True',)
[2020-04-20 19:02:17,509][11192][log_file.py][line: 23][DEBUG] ## ('------------0___20200420_081329.apk----节点3---------拆包校验结果：True:[]',)
[2020-04-20 19:03:32,964][11192][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点4----------打开游戏结果:True',)
[2020-04-20 19:04:09,499][11192][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk---节点5----------登录游戏结果:True',)
[2020-04-20 19:04:43,442][11192][log_file.py][line: 23][DEBUG] ## ('------0___20200420_081329.apk---节点6-------下单调起微信结果:True',)
[2020-04-20 19:05:00,521][7064][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:10:00,546][12944][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:15:00,556][8720][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:20:00,550][12000][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:25:00,492][8556][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:30:00,578][10036][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 19:40:00,587][10904][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 19:47:43,740][12400][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 19:47:56,037][12400][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点1-----------下载校验结果：True',)
[2020-04-20 19:49:05,773][12400][log_file.py][line: 23][DEBUG] ## ('---------0___20200420_081329.apk-------节点2------安装返回结果：True',)
[2020-04-20 19:49:13,619][12400][log_file.py][line: 23][DEBUG] ## ('------------0___20200420_081329.apk----节点3---------拆包校验结果：True:[]',)
[2020-04-20 19:50:00,686][8232][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', ['http://pkg.superdalan.com/game.pkg/download?pkgId=2623&f=shmykshb_dalan_dsdk_48_1.0.0_20200420_081329.apk'])
[2020-04-20 19:50:22,788][12400][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk----节点4----------打开游戏结果:True',)
[2020-04-20 19:50:59,231][12400][log_file.py][line: 23][DEBUG] ## ('-----------0___20200420_081329.apk---节点5----------登录游戏结果:True',)
[2020-04-20 19:51:39,521][12400][log_file.py][line: 23][DEBUG] ## ('------0___20200420_081329.apk---节点6-------下单调起微信结果:False',)
[2020-04-20 19:55:00,544][11712][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:00:00,596][2808][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:05:00,539][11040][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:10:00,631][6228][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:15:00,562][12172][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:20:00,636][5772][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:25:00,572][12108][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-04-20 20:30:00,581][4180][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
