[2020-05-30 00:00:00,686][12636][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:05:00,677][9712][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:10:00,678][7060][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:15:00,700][13064][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:20:01,242][7320][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:25:00,690][6336][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:30:00,704][5224][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:35:00,686][6272][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:40:00,702][4700][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:45:00,685][8044][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:50:00,713][2300][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 00:55:00,671][12132][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:00:00,660][6368][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:05:00,702][7060][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:10:00,707][6368][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:15:00,717][11612][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:20:00,648][6960][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:25:00,704][6152][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:30:00,716][11536][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:35:00,694][11916][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:40:00,700][2812][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:45:00,727][2332][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:50:00,688][11424][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 01:55:00,679][10028][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:00:00,704][12032][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:05:00,716][11524][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:10:00,664][4624][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:15:00,703][12956][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:20:00,694][12520][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:25:00,687][10460][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:30:00,709][13288][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:35:00,660][5332][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:40:00,683][9780][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:45:00,665][11828][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:50:00,664][12004][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 02:55:00,711][10824][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:00:00,697][11408][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:05:00,689][9104][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:10:00,679][12176][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:15:00,694][13220][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:20:00,691][11960][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:25:00,678][11412][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:30:00,666][8832][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:35:00,683][8252][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:40:00,656][6168][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:45:00,716][1376][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:50:00,667][4700][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 03:55:00,714][8472][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:00:00,761][12652][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:05:00,652][11488][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:10:00,675][6180][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:15:00,680][7592][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:20:00,695][12724][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:25:00,680][6240][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:30:00,713][4680][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:35:00,688][11364][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:40:00,685][3892][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:45:00,666][12944][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:50:00,689][11300][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 04:55:00,730][9148][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:00:00,673][10116][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:05:00,687][12396][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:10:00,675][1724][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:15:00,722][12256][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:20:00,667][9180][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:25:00,679][12172][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:30:00,696][13052][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:35:00,666][7392][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:40:00,690][12396][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:45:00,682][12860][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:50:00,648][4488][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 05:55:00,704][12556][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:00:00,684][7876][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:05:00,693][6432][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:10:00,678][7532][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:15:00,689][10004][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:20:00,680][4460][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:25:00,703][12412][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:30:00,670][2228][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:35:00,660][2108][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:40:00,682][5696][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:45:00,705][12728][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:50:00,673][8392][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 06:55:00,669][13108][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 07:00:00,677][12864][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 07:05:00,645][12168][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 07:10:00,704][5868][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 07:15:00,675][12840][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 07:20:00,698][12676][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
[2020-05-30 07:25:00,718][7440][log_file.py][line: 23][DEBUG] ## ('从数据库获取apk链接写入日志', [])
